in,rank,accesses,reads,writes
939912,28486,2,1,1
2128928,28487,2,1,1
969240,28488,2,0,2
7394856,28489,2,0,2
98016,28490,2,1,1
416960,28491,2,1,1
349560,28492,2,1,1
2345856,28493,2,1,1
321744,28494,2,1,1
283552,28495,2,1,1
791064,28496,2,0,2
554952,28497,2,1,1
1030024,28498,2,2,0
1047960,28499,2,1,1
387456,28500,2,0,2
1596864,28501,2,2,0
1544616,28502,2,1,1
6486192,28503,2,1,1
3194488,28504,2,2,0
155856,28505,2,2,0
295888,28506,2,0,2
241680,28507,2,1,1
1541920,28508,2,1,1
81328,28509,2,1,1
511080,28510,2,0,2
518392,28511,2,2,0
164456,28512,2,1,1
1814608,28513,2,1,1
499088,28514,2,0,2
1209744,28515,2,1,1
241640,28516,2,1,1
660904,28517,2,2,0
332584,28518,2,1,1
677744,28519,2,2,0
126912,28520,2,1,1
608248,28521,2,2,0
2268080,28522,2,2,0
579736,28523,2,1,1
177200,28524,2,2,0
565528,28525,2,0,2
269720,28526,2,1,1
407616,28527,2,1,1
2258736,28528,2,1,1
2215616,28529,2,2,0
4343792,28530,2,2,0
141096,28531,2,2,0
1174728,28532,2,0,2
540008,28533,2,1,1
454904,28534,2,0,2
561496,28535,2,0,2
191544,28536,2,0,2
214672,28537,2,1,1
1901104,28538,2,1,1
267264,28539,2,1,1
396752,28540,2,1,1
321952,28541,2,2,0
2959296,28542,2,2,0
257752,28543,2,1,1
2577288,28544,2,1,1
234048,28545,2,1,1
533680,28546,2,0,2
505368,28547,2,2,0
619424,28548,2,2,0
498032,28549,2,1,1
2500560,28550,2,1,1
172136,28551,2,1,1
71696,28552,2,1,1
467520,28553,2,2,0
1348872,28554,2,1,1
596496,28555,2,1,1
221560,28556,2,2,0
232248,28557,2,0,2
4184328,28558,2,1,1
545800,28559,2,0,2
1880576,28560,2,1,1
1290688,28561,2,2,0
5655888,28562,2,1,1
1010528,28563,2,2,0
2921424,28564,2,1,1
517704,28565,2,1,1
3046696,28566,2,1,1
98472,28567,2,1,1
345040,28568,2,0,2
242760,28569,2,0,2
5033208,28570,2,0,2
1760736,28571,2,1,1
440408,28572,2,1,1
204344,28573,2,0,2
733488,28574,2,1,1
116928,28575,2,0,2
867352,28576,2,2,0
1330704,28577,2,1,1
2767832,28578,2,2,0
149032,28579,2,0,2
116464,28580,2,0,2
3489256,28581,2,2,0
5066384,28582,2,0,2
2492608,28583,2,1,1
193456,28584,2,0,2
106024,28585,2,1,1
1855728,28586,2,1,1
6696392,28587,2,1,1
882304,28588,2,0,2
248312,28589,2,1,1
1806744,28590,2,1,1
68288,28591,2,1,1
521952,28592,2,1,1
383888,28593,2,1,1
659136,28594,2,0,2
2160904,28595,2,2,0
434576,28596,2,2,0
206080,28597,2,1,1
143704,28598,2,1,1
1084496,28599,2,1,1
392888,28600,2,1,1
1713920,28601,2,2,0
209456,28602,2,1,1
159872,28603,2,1,1
5073560,28604,2,1,1
3840240,28605,2,1,1
365352,28606,2,1,1
219208,28607,2,1,1
194552,28608,2,2,0
488712,28609,2,1,1
499584,28610,2,1,1
147072,28611,2,0,2
111592,28612,2,2,0
1081416,28613,2,2,0
506040,28614,2,0,2
665512,28615,2,0,2
3328288,28616,2,0,2
981944,28617,2,0,2
229240,28618,2,2,0
2056824,28619,2,2,0
1154992,28620,2,1,1
434632,28621,2,2,0
3026136,28622,2,2,0
6339952,28623,2,1,1
6971976,28624,2,0,2
898176,28625,2,0,2
1198088,28626,2,1,1
102288,28627,2,1,1
152816,28628,2,0,2
6156256,28629,2,1,1
4911480,28630,2,0,2
687072,28631,2,0,2
588408,28632,2,0,2
530856,28633,2,1,1
574152,28634,2,0,2
1672464,28635,2,1,1
171672,28636,2,1,1
945088,28637,2,1,1
2427712,28638,2,1,1
2112264,28639,2,1,1
3169808,28640,2,2,0
174992,28641,2,2,0
392632,28642,2,1,1
150784,28643,2,2,0
142120,28644,2,1,1
370992,28645,2,2,0
151816,28646,2,1,1
1049632,28647,2,1,1
243248,28648,2,2,0
857760,28649,2,0,2
560224,28650,2,0,2
566984,28651,2,0,2
849632,28652,2,1,1
601184,28653,2,1,1
803120,28654,2,2,0
6178600,28655,2,2,0
256664,28656,2,1,1
335128,28657,2,1,1
817752,28658,2,1,1
921768,28659,2,1,1
1700680,28660,2,2,0
393888,28661,2,1,1
425760,28662,2,2,0
417760,28663,2,1,1
657712,28664,2,0,2
1136936,28665,2,1,1
371904,28666,2,1,1
656816,28667,2,1,1
154824,28668,2,2,0
267816,28669,2,1,1
505088,28670,2,2,0
317856,28671,2,1,1
192656,28672,2,1,1
177624,28673,2,0,2
1498816,28674,2,2,0
2232176,28675,2,1,1
249496,28676,2,1,1
177320,28677,2,1,1
112728,28678,2,2,0
904248,28679,2,1,1
549800,28680,2,2,0
3805544,28681,2,1,1
71136,28682,2,2,0
536072,28683,2,2,0
2012296,28684,2,1,1
365896,28685,2,1,1
631960,28686,2,2,0
771352,28687,2,2,0
1083616,28688,2,1,1
2364400,28689,2,2,0
719848,28690,2,1,1
1741608,28691,2,0,2
322824,28692,2,1,1
1977112,28693,2,2,0
153472,28694,2,1,1
122192,28695,2,1,1
255032,28696,2,2,0
868032,28697,2,1,1
1033376,28698,2,0,2
139032,28699,2,1,1
827760,28700,2,2,0
598304,28701,2,1,1
4859720,28702,2,1,1
1902112,28703,2,1,1
166264,28704,2,0,2
1073528,28705,2,1,1
3007544,28706,2,1,1
1093520,28707,2,1,1
195360,28708,2,1,1
918712,28709,2,0,2
945224,28710,2,0,2
3151080,28711,2,1,1
589384,28712,2,1,1
263896,28713,2,1,1
639832,28714,2,1,1
525432,28715,2,2,0
106824,28716,2,0,2
980816,28717,2,1,1
2569336,28718,2,1,1
200464,28719,2,1,1
1478624,28720,2,2,0
162184,28721,2,0,2
144496,28722,2,0,2
355640,28723,2,1,1
1758000,28724,2,1,1
3634256,28725,2,0,2
874520,28726,2,1,1
7874848,28727,2,1,1
382768,28728,2,0,2
490320,28729,2,2,0
368584,28730,2,0,2
3746376,28731,2,1,1
314832,28732,2,0,2
3618120,28733,2,0,2
414608,28734,2,0,2
4648384,28735,2,2,0
1578424,28736,2,2,0
1813768,28737,2,2,0
541656,28738,2,1,1
2279832,28739,2,2,0
500272,28740,2,0,2
855432,28741,2,0,2
307184,28742,2,1,1
816368,28743,2,1,1
3433624,28744,2,0,2
361640,28745,2,1,1
1670304,28746,2,2,0
406120,28747,2,1,1
404984,28748,2,0,2
1605816,28749,2,0,2
1656720,28750,2,1,1
1859680,28751,2,1,1
7872560,28752,2,1,1
210648,28753,2,1,1
997240,28754,2,1,1
212824,28755,2,1,1
340368,28756,2,1,1
816384,28757,2,1,1
530048,28758,2,2,0
429048,28759,2,1,1
731320,28760,2,1,1
107040,28761,2,1,1
4554200,28762,2,1,1
286032,28763,2,2,0
443368,28764,2,0,2
857104,28765,2,1,1
159048,28766,2,0,2
58152,28767,2,1,1
2329496,28768,2,2,0
205904,28769,2,1,1
84160,28770,2,1,1
320512,28771,2,1,1
3930760,28772,2,0,2
272664,28773,2,0,2
382200,28774,2,0,2
5258952,28775,2,0,2
986056,28776,2,1,1
1377200,28777,2,1,1
2285384,28778,2,0,2
40952,28779,2,2,0
1715008,28780,2,1,1
388840,28781,2,2,0
2430072,28782,2,1,1
339808,28783,2,1,1
1103224,28784,2,0,2
2280048,28785,2,0,2
6329856,28786,2,0,2
236312,28787,2,1,1
260440,28788,2,2,0
1746184,28789,2,1,1
196672,28790,2,1,1
488384,28791,2,1,1
2543248,28792,2,1,1
228928,28793,2,0,2
771912,28794,2,1,1
318120,28795,2,2,0
442840,28796,2,0,2
704992,28797,2,2,0
581816,28798,2,1,1
933248,28799,2,0,2
233760,28800,2,1,1
109376,28801,2,1,1
439040,28802,2,1,1
174488,28803,2,2,0
1065216,28804,2,1,1
117768,28805,2,1,1
1101600,28806,2,0,2
489496,28807,2,1,1
2737408,28808,2,0,2
170200,28809,2,1,1
223832,28810,2,1,1
1703808,28811,2,2,0
441680,28812,2,0,2
1369048,28813,2,2,0
1736240,28814,2,0,2
514984,28815,2,0,2
3090224,28816,2,2,0
5224152,28817,2,2,0
468464,28818,2,1,1
3790008,28819,2,0,2
1022256,28820,2,1,1
225360,28821,2,1,1
271072,28822,2,0,2
247632,28823,2,1,1
193888,28824,2,1,1
265328,28825,2,1,1
2394384,28826,2,1,1
4081672,28827,2,2,0
187832,28828,2,2,0
523624,28829,2,0,2
2080184,28830,2,1,1
3228864,28831,2,2,0
254384,28832,2,1,1
88600,28833,2,1,1
499424,28834,2,1,1
226168,28835,2,1,1
439168,28836,2,1,1
411368,28837,2,1,1
7298480,28838,2,1,1
684360,28839,2,1,1
2264104,28840,2,1,1
2642808,28841,2,2,0
3581856,28842,2,2,0
2281048,28843,2,2,0
278688,28844,2,1,1
7263616,28845,2,1,1
121200,28846,2,1,1
328512,28847,2,0,2
5088296,28848,2,1,1
363184,28849,2,1,1
620920,28850,2,2,0
579680,28851,2,2,0
886320,28852,2,1,1
397688,28853,2,1,1
1501248,28854,2,2,0
112656,28855,2,1,1
140120,28856,2,1,1
558952,28857,2,1,1
631944,28858,2,0,2
380112,28859,2,2,0
1940744,28860,2,1,1
3183200,28861,2,2,0
293896,28862,2,2,0
760520,28863,2,2,0
251992,28864,2,1,1
354944,28865,2,1,1
1060640,28866,2,2,0
125000,28867,2,1,1
646664,28868,2,0,2
298456,28869,2,0,2
876968,28870,2,2,0
1750904,28871,2,1,1
146240,28872,2,1,1
238144,28873,2,0,2
4775248,28874,2,1,1
92368,28875,2,1,1
6691664,28876,2,0,2
2103080,28877,2,2,0
334760,28878,2,2,0
1166608,28879,2,0,2
313072,28880,2,2,0
385960,28881,2,2,0
563648,28882,2,1,1
361432,28883,2,1,1
1502696,28884,2,1,1
830312,28885,2,2,0
147200,28886,2,1,1
1931264,28887,2,2,0
575120,28888,2,2,0
267104,28889,2,1,1
564872,28890,2,1,1
307760,28891,2,2,0
3956400,28892,2,0,2
782584,28893,2,2,0
3339432,28894,2,2,0
576944,28895,2,0,2
244832,28896,2,1,1
699208,28897,2,0,2
1023192,28898,2,1,1
817448,28899,2,2,0
560464,28900,2,1,1
330448,28901,2,1,1
274856,28902,2,1,1
234424,28903,2,1,1
3851528,28904,2,2,0
410624,28905,2,2,0
616576,28906,2,1,1
1557968,28907,2,1,1
94896,28908,2,2,0
315296,28909,2,1,1
417920,28910,2,1,1
391328,28911,2,2,0
923776,28912,2,2,0
1120392,28913,2,0,2
518264,28914,2,0,2
217704,28915,2,0,2
1603376,28916,2,1,1
844512,28917,2,0,2
462168,28918,2,1,1
900544,28919,2,2,0
133904,28920,2,0,2
304264,28921,2,1,1
275440,28922,2,1,1
994576,28923,2,2,0
170720,28924,2,0,2
205568,28925,2,1,1
1041864,28926,2,0,2
1914632,28927,2,1,1
216136,28928,2,2,0
340816,28929,2,0,2
1718024,28930,2,0,2
290632,28931,2,1,1
3001112,28932,2,1,1
130568,28933,2,1,1
392160,28934,2,2,0
1817496,28935,2,2,0
1827744,28936,2,1,1
313104,28937,2,1,1
628048,28938,2,2,0
1009960,28939,2,0,2
2104512,28940,2,0,2
1613528,28941,2,2,0
76656,28942,2,2,0
818424,28943,2,1,1
4577280,28944,2,1,1
597600,28945,2,0,2
595496,28946,2,1,1
271144,28947,2,0,2
229136,28948,2,1,1
3916384,28949,2,1,1
677080,28950,2,1,1
2198048,28951,2,1,1
890472,28952,2,2,0
1815704,28953,2,2,0
1179616,28954,2,2,0
335800,28955,2,1,1
433512,28956,2,1,1
2052168,28957,2,0,2
161904,28958,2,1,1
573920,28959,2,0,2
117744,28960,2,1,1
499168,28961,2,1,1
404680,28962,2,2,0
247808,28963,2,1,1
206672,28964,2,0,2
1192328,28965,2,1,1
567352,28966,2,2,0
1925224,28967,2,2,0
95576,28968,2,0,2
217424,28969,2,1,1
390456,28970,2,1,1
319488,28971,2,1,1
402544,28972,2,1,1
7900312,28973,2,1,1
3520312,28974,2,2,0
761272,28975,2,1,1
964840,28976,2,1,1
708960,28977,2,0,2
146904,28978,2,1,1
374480,28979,2,0,2
140096,28980,2,0,2
3599448,28981,2,1,1
245256,28982,2,2,0
378640,28983,2,1,1
507808,28984,2,2,0
619640,28985,2,1,1
175928,28986,2,2,0
646544,28987,2,1,1
366192,28988,2,2,0
2768336,28989,2,1,1
3741080,28990,2,0,2
276840,28991,2,1,1
260184,28992,2,1,1
520544,28993,2,2,0
6332312,28994,2,1,1
323144,28995,2,1,1
2277680,28996,2,1,1
547088,28997,2,1,1
2988712,28998,2,0,2
236272,28999,2,1,1
665568,29000,2,0,2
211104,29001,2,0,2
403424,29002,2,2,0
3317304,29003,2,1,1
1302376,29004,2,0,2
502176,29005,2,1,1
238344,29006,2,1,1
1998800,29007,2,0,2
147832,29008,2,1,1
3228328,29009,2,0,2
702528,29010,2,1,1
526200,29011,2,0,2
360672,29012,2,0,2
571480,29013,2,2,0
1203424,29014,2,0,2
566744,29015,2,1,1
792352,29016,2,1,1
195632,29017,2,1,1
989448,29018,2,0,2
839896,29019,2,0,2
340832,29020,2,1,1
7049800,29021,2,0,2
1048320,29022,2,1,1
1723176,29023,2,1,1
400504,29024,2,1,1
289048,29025,2,0,2
308360,29026,2,0,2
834528,29027,2,2,0
600776,29028,2,1,1
123608,29029,2,1,1
1053384,29030,2,0,2
66520,29031,2,0,2
275048,29032,2,0,2
172824,29033,2,1,1
2480936,29034,2,0,2
175400,29035,2,0,2
103800,29036,2,1,1
83048,29037,2,1,1
6559976,29038,2,1,1
274312,29039,2,2,0
2209328,29040,2,0,2
1028264,29041,2,1,1
531224,29042,2,1,1
251480,29043,2,2,0
6350496,29044,2,0,2
1021496,29045,2,2,0
125520,29046,2,1,1
1363864,29047,2,2,0
112368,29048,2,2,0
4496952,29049,2,0,2
45720,29050,2,0,2
198608,29051,2,1,1
328248,29052,2,1,1
435968,29053,2,2,0
507160,29054,2,0,2
1937520,29055,2,2,0
1182592,29056,2,1,1
437552,29057,2,0,2
565256,29058,2,0,2
401368,29059,2,1,1
1079752,29060,2,2,0
764328,29061,2,1,1
1520264,29062,2,0,2
212432,29063,2,1,1
4699080,29064,2,1,1
2413136,29065,2,0,2
1641672,29066,2,2,0
1027568,29067,2,2,0
967960,29068,2,1,1
1056968,29069,2,1,1
174952,29070,2,1,1
1947776,29071,2,1,1
833728,29072,2,1,1
2504360,29073,2,1,1
1145600,29074,2,1,1
8232416,29075,2,2,0
201616,29076,2,2,0
1148056,29077,2,1,1
1358008,29078,2,0,2
1007696,29079,2,2,0
1150592,29080,2,0,2
316264,29081,2,1,1
1323344,29082,2,2,0
1469528,29083,2,1,1
2935024,29084,2,2,0
102744,29085,2,2,0
336664,29086,2,1,1
230208,29087,2,1,1
1513544,29088,2,1,1
1355560,29089,2,1,1
173312,29090,2,0,2
637440,29091,2,1,1
308496,29092,2,1,1
875856,29093,2,1,1
190320,29094,2,1,1
550816,29095,2,1,1
450584,29096,2,1,1
1026368,29097,2,0,2
368904,29098,2,2,0
179400,29099,2,1,1
3735864,29100,2,2,0
1375608,29101,2,2,0
668632,29102,2,2,0
395664,29103,2,1,1
528936,29104,2,1,1
304688,29105,2,0,2
4199296,29106,2,0,2
476496,29107,2,1,1
1980584,29108,2,0,2
332544,29109,2,1,1
744312,29110,2,1,1
171880,29111,2,1,1
1051920,29112,2,1,1
127528,29113,2,0,2
362464,29114,2,2,0
406600,29115,2,0,2
148768,29116,2,2,0
442656,29117,2,1,1
207792,29118,2,1,1
1305992,29119,2,1,1
6398336,29120,2,1,1
355888,29121,2,0,2
195440,29122,2,1,1
187208,29123,2,1,1
139456,29124,2,2,0
335544,29125,2,1,1
620536,29126,2,1,1
828464,29127,2,2,0
841152,29128,2,0,2
950400,29129,2,2,0
493528,29130,2,1,1
201664,29131,2,2,0
282936,29132,2,1,1
5616496,29133,2,1,1
2193136,29134,2,0,2
445544,29135,2,0,2
285872,29136,2,2,0
398032,29137,2,1,1
4270472,29138,2,1,1
1003432,29139,2,1,1
553608,29140,2,2,0
484840,29141,2,0,2
944336,29142,2,1,1
208288,29143,2,1,1
1199952,29144,2,1,1
232920,29145,2,1,1
5218976,29146,2,0,2
315856,29147,2,2,0
1390856,29148,2,1,1
214120,29149,2,0,2
3280896,29150,2,0,2
3851624,29151,2,0,2
1434568,29152,2,1,1
3261016,29153,2,1,1
280880,29154,2,1,1
227208,29155,2,2,0
510368,29156,2,1,1
211704,29157,2,1,1
379864,29158,2,2,0
536960,29159,2,0,2
3469472,29160,2,1,1
859600,29161,2,1,1
525704,29162,2,0,2
60848,29163,2,2,0
374768,29164,2,1,1
1325648,29165,2,0,2
1272536,29166,2,0,2
679632,29167,2,0,2
362632,29168,2,1,1
340264,29169,2,1,1
1164096,29170,2,2,0
1858824,29171,2,1,1
1737408,29172,2,1,1
569480,29173,2,1,1
1476720,29174,2,2,0
357640,29175,2,1,1
277488,29176,2,1,1
456768,29177,2,1,1
662056,29178,2,1,1
806176,29179,2,2,0
8166480,29180,2,2,0
1762976,29181,2,1,1
2775600,29182,2,1,1
335016,29183,2,2,0
472648,29184,2,2,0
232688,29185,2,1,1
378448,29186,2,2,0
201392,29187,2,1,1
297560,29188,2,2,0
124096,29189,2,0,2
732712,29190,2,0,2
210688,29191,2,1,1
637808,29192,2,0,2
495048,29193,2,2,0
740408,29194,2,1,1
2577328,29195,2,1,1
2243976,29196,2,0,2
433584,29197,2,2,0
3541208,29198,2,0,2
987832,29199,2,1,1
255440,29200,2,0,2
999384,29201,2,2,0
2249032,29202,2,2,0
148448,29203,2,1,1
142744,29204,2,0,2
7656992,29205,2,1,1
836664,29206,2,0,2
909008,29207,2,2,0
331552,29208,2,1,1
1231608,29209,2,1,1
742208,29210,2,2,0
1343560,29211,2,2,0
341024,29212,2,1,1
181248,29213,2,1,1
1517856,29214,2,1,1
2708040,29215,2,1,1
584376,29216,2,0,2
1538240,29217,2,0,2
64272,29218,2,1,1
253032,29219,2,2,0
4184560,29220,2,1,1
940840,29221,2,1,1
2595928,29222,2,1,1
842912,29223,2,1,1
441728,29224,2,0,2
1347984,29225,2,2,0
335472,29226,2,1,1
550536,29227,2,1,1
701368,29228,2,1,1
1485232,29229,2,1,1
976336,29230,2,0,2
269304,29231,2,0,2
1425808,29232,2,1,1
579136,29233,2,2,0
848760,29234,2,1,1
283512,29235,2,0,2
479968,29236,2,0,2
1181712,29237,2,2,0
1121352,29238,2,1,1
281704,29239,2,1,1
2364296,29240,2,1,1
195848,29241,2,2,0
5040624,29242,2,1,1
154776,29243,2,1,1
7536872,29244,2,2,0
3656976,29245,2,2,0
69456,29246,2,2,0
343032,29247,2,1,1
1090248,29248,2,2,0
1082808,29249,2,2,0
5668656,29250,2,0,2
252544,29251,2,1,1
1095120,29252,2,2,0
3398952,29253,2,0,2
140912,29254,2,1,1
206192,29255,2,2,0
214032,29256,2,1,1
354624,29257,2,1,1
814528,29258,2,2,0
3072312,29259,2,0,2
1837728,29260,2,1,1
138656,29261,2,2,0
4457408,29262,2,1,1
1912200,29263,2,1,1
65224,29264,2,0,2
261200,29265,2,0,2
117552,29266,2,1,1
861536,29267,2,0,2
51344,29268,2,0,2
635768,29269,2,1,1
469752,29270,2,0,2
137152,29271,2,1,1
87000,29272,2,2,0
700608,29273,2,1,1
115160,29274,2,1,1
632720,29275,2,1,1
404088,29276,2,0,2
475168,29277,2,0,2
906856,29278,2,0,2
1963808,29279,2,1,1
1506560,29280,2,0,2
4369376,29281,2,1,1
130248,29282,2,0,2
5198376,29283,2,1,1
1906000,29284,2,2,0
133160,29285,2,1,1
317640,29286,2,1,1
270024,29287,2,2,0
242560,29288,2,0,2
1352920,29289,2,1,1
179088,29290,2,0,2
5871208,29291,2,1,1
2767736,29292,2,0,2
394816,29293,2,2,0
3504456,29294,2,1,1
280336,29295,2,1,1
5493960,29296,2,1,1
4652312,29297,2,1,1
416552,29298,2,1,1
1167432,29299,2,1,1
1756448,29300,2,1,1
5340384,29301,2,1,1
2538552,29302,2,0,2
1234624,29303,2,1,1
4117392,29304,2,1,1
319712,29305,2,0,2
395568,29306,2,2,0
439192,29307,2,1,1
1456104,29308,2,1,1
268656,29309,2,2,0
1115600,29310,2,2,0
146376,29311,2,2,0
421000,29312,2,1,1
954592,29313,2,1,1
2595024,29314,2,0,2
810936,29315,2,1,1
476272,29316,2,1,1
697304,29317,2,1,1
301888,29318,2,1,1
347496,29319,2,1,1
209616,29320,2,1,1
7240216,29321,2,1,1
738176,29322,2,1,1
1816672,29323,2,2,0
101040,29324,2,1,1
5731024,29325,2,1,1
413216,29326,2,1,1
303720,29327,2,2,0
498152,29328,2,2,0
1263768,29329,2,1,1
723640,29330,2,0,2
805368,29331,2,0,2
1001792,29332,2,2,0
441448,29333,2,1,1
213856,29334,2,0,2
4965768,29335,2,0,2
720360,29336,2,0,2
849872,29337,2,1,1
1308464,29338,2,1,1
1202544,29339,2,0,2
1351848,29340,2,1,1
184432,29341,2,1,1
1271544,29342,2,1,1
3410024,29343,2,2,0
1019984,29344,2,1,1
418336,29345,2,2,0
95496,29346,2,0,2
374736,29347,2,2,0
620040,29348,2,1,1
371352,29349,2,1,1
1617728,29350,2,1,1
2075472,29351,2,1,1
1137312,29352,2,2,0
304640,29353,2,1,1
252496,29354,2,0,2
520720,29355,2,0,2
898520,29356,2,1,1
1759336,29357,2,1,1
960296,29358,2,2,0
568392,29359,2,0,2
4654648,29360,2,0,2
2367744,29361,2,1,1
101080,29362,2,2,0
2457256,29363,2,1,1
146344,29364,2,0,2
155120,29365,2,1,1
7105080,29366,2,0,2
331488,29367,2,2,0
431528,29368,2,1,1
432680,29369,2,1,1
1580480,29370,2,0,2
228896,29371,2,1,1
1324000,29372,2,1,1
68064,29373,2,1,1
4090408,29374,2,1,1
698192,29375,2,1,1
280416,29376,2,1,1
480920,29377,2,1,1
1369352,29378,2,1,1
1845536,29379,2,2,0
1821296,29380,2,1,1
1370888,29381,2,0,2
709736,29382,2,0,2
814704,29383,2,2,0
982264,29384,2,2,0
1748912,29385,2,1,1
367464,29386,2,1,1
911432,29387,2,1,1
298920,29388,2,1,1
237000,29389,2,2,0
1740912,29390,2,2,0
459856,29391,2,2,0
341304,29392,2,1,1
104344,29393,2,0,2
600672,29394,2,1,1
1073512,29395,2,2,0
1025488,29396,2,1,1
326008,29397,2,2,0
1485880,29398,2,2,0
499208,29399,2,0,2
261264,29400,2,0,2
473032,29401,2,0,2
288352,29402,2,1,1
264120,29403,2,0,2
543448,29404,2,2,0
3154520,29405,2,1,1
3149544,29406,2,2,0
866992,29407,2,0,2
3990304,29408,2,1,1
128304,29409,2,0,2
765528,29410,2,2,0
589472,29411,2,0,2
286176,29412,2,2,0
181592,29413,2,0,2
6204072,29414,2,1,1
119080,29415,2,2,0
2053664,29416,2,1,1
767984,29417,2,2,0
969120,29418,2,2,0
154032,29419,2,0,2
2233920,29420,2,0,2
742032,29421,2,2,0
630240,29422,2,0,2
234488,29423,2,0,2
864392,29424,2,1,1
279272,29425,2,1,1
189744,29426,2,0,2
357512,29427,2,1,1
795832,29428,2,1,1
1056992,29429,2,1,1
897776,29430,2,1,1
719560,29431,2,1,1
2413968,29432,2,0,2
315184,29433,2,2,0
2536752,29434,2,0,2
733096,29435,2,1,1
801888,29436,2,2,0
1043168,29437,2,1,1
687256,29438,2,2,0
632968,29439,2,1,1
1227664,29440,2,1,1
795976,29441,2,2,0
1704824,29442,2,0,2
996856,29443,2,2,0
879448,29444,2,0,2
265416,29445,2,1,1
226048,29446,2,0,2
41432,29447,2,1,1
2221936,29448,2,0,2
127432,29449,2,2,0
342560,29450,2,0,2
591376,29451,2,0,2
323920,29452,2,1,1
627248,29453,2,1,1
1718288,29454,2,2,0
1122328,29455,2,1,1
339752,29456,2,0,2
442008,29457,2,2,0
817760,29458,2,1,1
245304,29459,2,0,2
439120,29460,2,1,1
378368,29461,2,2,0
4410936,29462,2,1,1
1152536,29463,2,2,0
1181560,29464,2,2,0
6593144,29465,2,1,1
984552,29466,2,1,1
479960,29467,2,1,1
1601688,29468,2,1,1
727200,29469,2,1,1
373056,29470,2,0,2
218472,29471,2,1,1
122048,29472,2,0,2
638032,29473,2,0,2
580144,29474,2,1,1
305856,29475,2,1,1
947080,29476,2,2,0
575344,29477,2,1,1
737776,29478,2,1,1
392936,29479,2,2,0
484560,29480,2,2,0
393960,29481,2,0,2
2525440,29482,2,2,0
2089128,29483,2,2,0
278512,29484,2,1,1
4661432,29485,2,2,0
200752,29486,2,1,1
1408664,29487,2,1,1
302712,29488,2,1,1
210872,29489,2,1,1
570048,29490,2,1,1
649408,29491,2,1,1
825888,29492,2,1,1
352968,29493,2,0,2
517224,29494,2,1,1
6637704,29495,2,1,1
1052728,29496,2,1,1
269192,29497,2,2,0
4503256,29498,2,2,0
1579208,29499,2,1,1
1382232,29500,2,2,0
209136,29501,2,1,1
1691864,29502,2,1,1
82800,29503,2,1,1
394144,29504,2,2,0
113272,29505,2,1,1
1421616,29506,2,1,1
318480,29507,2,1,1
514240,29508,2,1,1
2830120,29509,2,0,2
1985528,29510,2,0,2
3037104,29511,2,2,0
197600,29512,2,0,2
491104,29513,2,2,0
80336,29514,2,1,1
517616,29515,2,1,1
377328,29516,2,1,1
308448,29517,2,0,2
1184536,29518,2,0,2
5243048,29519,2,2,0
6175136,29520,2,1,1
380648,29521,2,1,1
152280,29522,2,2,0
1089088,29523,2,1,1
111056,29524,2,0,2
1440880,29525,2,1,1
144048,29526,2,1,1
1705712,29527,2,2,0
178272,29528,2,1,1
780592,29529,2,2,0
410824,29530,2,2,0
807824,29531,2,2,0
4564848,29532,2,1,1
1914696,29533,2,1,1
478888,29534,2,1,1
685336,29535,2,1,1
2848080,29536,2,0,2
3767120,29537,2,2,0
94040,29538,2,2,0
6763616,29539,2,0,2
4252552,29540,2,1,1
590408,29541,2,1,1
130912,29542,2,0,2
4545480,29543,2,2,0
74168,29544,2,1,1
2308272,29545,2,1,1
61400,29546,2,1,1
374008,29547,2,2,0
304584,29548,2,1,1
317784,29549,2,1,1
161752,29550,2,0,2
541008,29551,2,2,0
2223992,29552,2,0,2
1675024,29553,2,1,1
1333136,29554,2,2,0
1830064,29555,2,1,1
1008552,29556,2,1,1
124616,29557,2,2,0
90152,29558,2,1,1
313880,29559,2,0,2
97304,29560,2,2,0
366608,29561,2,2,0
3288240,29562,2,2,0
3937048,29563,2,1,1
2230408,29564,2,1,1
3878168,29565,2,1,1
3167888,29566,2,2,0
4219296,29567,2,2,0
3209304,29568,2,1,1
1923872,29569,2,1,1
1531744,29570,2,1,1
220120,29571,2,2,0
580904,29572,2,2,0
333576,29573,2,2,0
650232,29574,2,1,1
1029456,29575,2,1,1
1009184,29576,2,1,1
433904,29577,2,1,1
426160,29578,2,1,1
227272,29579,2,1,1
6948584,29580,2,0,2
48128,29581,2,1,1
1024432,29582,2,2,0
117560,29583,2,0,2
387384,29584,2,0,2
853984,29585,2,1,1
2172360,29586,2,2,0
1833912,29587,2,1,1
284064,29588,2,1,1
1607096,29589,2,1,1
340528,29590,2,2,0
7736832,29591,2,0,2
73048,29592,2,2,0
1704560,29593,2,0,2
180296,29594,2,1,1
206848,29595,2,1,1
176000,29596,2,1,1
1132216,29597,2,0,2
141200,29598,2,1,1
123136,29599,2,1,1
1540872,29600,2,1,1
1044584,29601,2,0,2
843192,29602,2,2,0
586880,29603,2,1,1
292464,29604,2,1,1
987320,29605,2,1,1
87288,29606,2,2,0
2287232,29607,2,1,1
60192,29608,2,0,2
3682280,29609,2,0,2
2341312,29610,2,1,1
214808,29611,2,1,1
3486400,29612,2,2,0
986872,29613,2,2,0
2946520,29614,2,2,0
3403824,29615,2,2,0
924256,29616,2,2,0
308952,29617,2,0,2
